Date,MSFT,AAPL,META,AMZN,GOOG
21/4/2020,160.633728,65.12776947,169.9987793,116.4059982,60.53030396
22/4/2020,166.0895996,67.00369263,181.4249573,118.1744995,62.86275101
23/4/2020,164.0795898,66.7440033,184.2615814,119.9725037,63.51465988
24/4/2020,167.0755768,68.67088318,189.178421,120.5110016,63.6639595
27/4/2020,166.5969696,68.71941376,186.6204529,118.8000031,63.49326706
28/4/2020,162.5385437,67.60551453,182.0519867,115.7040024,61.39271545
29/4/2020,169.8322601,69.82602692,193.2790833,118.635498,66.75780487
30/4/2020,171.5360107,71.29908752,203.7497406,123.6999969,67.11510468
1/5/2020,167.0947113,70.15123749,201.321167,114.302002,65.71923065
4/5/2020,171.1818237,71.14376831,204.2971497,115.7994995,66.02726746
5/5/2020,173.0196381,72.21155548,206.0986633,115.8899994,67.23703003
6/5/2020,174.7234192,72.95659637,207.4920807,117.5630035,67.04743195
7/5/2020,175.7380219,73.71131897,210.2689972,118.3805008,68.30448151
8/5/2020,176.771759,75.46577454,211.3538971,118.9804993,69.09125519
11/5/2020,178.7435608,76.65326691,212.1799774,120.4499969,69.83224487
12/5/2020,174.6946716,75.77726746,209.1144409,117.8475037,68.46273041
13/5/2020,172.0528717,74.86228943,204.1379089,118.3960037,67.14845276
14/5/2020,172.7994385,75.32221222,205.8398743,119.4424973,67.48685455
15/5/2020,175.3168488,74.87689209,209.8907928,120.4889984,68.33583069
18/5/2020,176.9919281,76.64108276,212.1899567,121.3130035,68.8707962
19/5/2020,175.7667542,76.19821167,215.8626404,122.4664993,68.35050964
20/5/2020,178.2047424,77.68012238,228.8912201,124.8970032,70.00442505
21/5/2020,176.06427,77.10099792,230.3045502,122.336998,69.80934906
22/5/2020,176.1410828,77.59741211,233.8080597,121.8440018,70.18855286
26/5/2020,174.2790222,77.07178497,231.1107788,121.0930023,70.51699066
27/5/2020,174.5093384,77.40757751,228.0651398,120.5195007,70.55780029
28/5/2020,174.1158142,77.44166565,224.4023743,120.0550003,70.50257111
29/5/2020,175.89151,77.36623383,224.0341187,122.1184998,71.10919189
1/6/2020,175.4883575,78.31768036,230.8221436,123.552002,71.25351715
2/6/2020,177.484848,78.68024445,231.6283112,123.6204987,71.62176514
3/6/2020,177.9168091,79.11338806,229.0803375,123.9199982,71.48043823
4/6/2020,175.5747681,78.43204498,225.2285004,123.0299988,70.27613831
5/6/2020,179.6829071,80.66586304,229.6874847,124.1500015,71.58046722
8/6/2020,180.7963409,81.14280701,230.3145294,126.2030029,71.98951721
9/6/2020,182.1784668,83.7051239,237.5504303,130.0429993,72.46476746
10/6/2020,188.9358063,85.85863495,235.6195221,132.3724976,72.94699097
11/6/2020,178.7902527,81.73654175,223.3772125,127.8980026,69.86109924
12/6/2020,180.2012024,82.4422226,227.5077515,127.2509995,70.32590485
15/6/2020,181.3530273,83.46179962,231.4093628,128.6340027,70.65782928
16/6/2020,185.7971344,85.67371368,234.5446014,130.763504,71.79593658
17/6/2020,186.440155,85.55448914,234.4251404,132.048996,72.21395874
18/6/2020,188.4367065,85.58855438,234.8332367,132.6990051,71.45953369
19/6/2020,187.3136444,85.09946442,237.6698608,133.7505035,71.24853516
22/6/2020,192.5160217,87.32598114,238.0978546,135.6909943,72.25078583
23/6/2020,193.8022156,89.18991089,241.1036835,138.2205048,72.87532806
24/6/2020,189.8956146,87.61552429,232.9222412,136.7200012,71.2609787
25/6/2020,192.2952576,88.77868652,234.5744324,137.7290039,71.72676849
26/6/2020,188.4462738,86.05089569,215.0664063,134.6434937,67.67446136
29/6/2020,190.4715576,88.03408051,219.605011,134.0189972,69.41969299
30/6/2020,195.3379517,88.76896667,226.0048523,137.9409943,70.3473053
1/7/2020,196.4802094,88.6010437,236.4356842,143.9349976,71.56304169
2/7/2020,197.9775085,88.6010437,232.3250427,144.5149994,72.88977051
6/7/2020,202.2391968,90.97113037,239.1528778,152.852005,74.43244934
7/7/2020,199.8876495,90.68888092,239.7301636,150.0059967,73.90894318
8/7/2020,204.2837219,92.80103302,242.4373932,154.0554962,74.4473877
9/7/2020,205.7138672,93.20010376,243.3530731,159.1315002,75.19334412
10/7/2020,205.0899658,93.36314392,243.9203949,160,76.72359467
13/7/2020,198.7550049,92.93244934,237.878891,155.1999969,75.21076965
14/7/2020,199.9836273,94.47032166,238.6054382,154.1999969,75.67059326
15/7/2020,199.6860046,95.12001801,239.1528778,150.4434967,75.32522583
16/7/2020,195.7314758,93.94959259,239.7998199,149.9949951,75.54219818
17/7/2020,194.7332916,93.75978088,240.8946533,148.0984955,75.4202652
20/7/2020,203.1030731,95.73566437,244.2687531,159.8419952,77.91694641
21/7/2020,200.367569,94.41435242,240.6159668,156.914505,77.55366516
22/7/2020,203.2470856,94.67960358,238.7447815,154.9954987,78.05478668
23/7/2020,194.4068756,90.37010193,231.5088959,149.3274994,75.42674255
24/7/2020,193.2167053,90.14624786,229.6277618,150.4454956,75.23714447
27/7/2020,195.6643066,92.28271484,232.4046783,152.760498,76.14932251
28/7/2020,193.9078369,90.76674652,229.0405426,150.0164948,74.6633606
29/7/2020,195.8658752,92.50659943,232.1956329,151.6764984,75.74224091
30/7/2020,195.7123108,93.62593079,233.3999786,152.5939941,76.21154022
31/7/2020,196.77771,103.4275131,252.4800568,158.2339935,73.79845428
3/8/2020,207.8447266,106.0336456,250.7780914,155.5944977,73.37496185
4/8/2020,204.725235,106.7417526,248.6580811,156.9414978,72.90319824
5/8/2020,204.3892822,107.1286392,247.9514008,160.2514954,73.3331604
6/8/2020,207.662384,110.8663025,264.035614,161.25,74.65142059
7/8/2020,203.9477234,108.3456497,267.1807556,158.3730011,74.37223816
10/8/2020,199.8876495,109.9204559,261.7662964,157.4080048,74.45236206
11/8/2020,195.2131805,106.6514282,254.9285126,154.033493,73.66708374
12/8/2020,200.7898865,110.1959076,258.6708679,158.1119995,74.97588348
13/8/2020,200.3195496,112.1461029,260.0742493,158.0509949,75.56459045
14/8/2020,200.5114899,112.0461502,260.0145569,157.401001,75.03111267
17/8/2020,201.8361053,111.753624,259.9349365,159.1204987,75.54119873
18/8/2020,202.9975433,112.6848526,261.1094055,165.6244965,77.56262207
19/8/2020,201.7659302,112.8262329,261.3582153,163.0240021,77.01173401
20/8/2020,206.461319,115.3298035,267.7481079,164.8684998,78.7146759
21/8/2020,204.9603424,121.2730331,265.7575073,164.2359924,78.64849091
24/8/2020,205.605011,122.7234955,270.1169128,165.3730011,79.03565979
25/8/2020,208.2798157,121.7166824,279.5027161,167.3244934,80.03192902
26/8/2020,212.7826996,123.3719254,302.4844055,172.0924988,82.22952271
27/8/2020,218.007309,121.8971024,291.8445129,170,81.33126831
28/8/2020,220.2491608,121.699646,292.2825012,170.0899963,81.832901
31/8/2020,216.9970093,125.8267441,291.824646,172.5480042,81.32380676
1/9/2020,218.6711731,130.8387299,294.0541077,174.9559937,82.64406586
2/9/2020,222.8854675,128.1279755,301.0810242,176.5724945,86.00662994
3/9/2020,209.0784149,117.8699417,289.7543945,168.3999939,81.70500946
4/9/2020,206.1437988,117.947937,281.4038086,164.7310028,79.17697906
8/9/2020,194.9923248,110.010643,269.8880005,157.4920044,76.25830841
9/9/2020,203.2958069,114.3985825,272.4360352,163.4304962,77.48100281
10/9/2020,197.5997467,110.6639557,266.8323975,158.7554932,76.23989105
11/9/2020,196.3104706,109.2110748,265.3593445,155.8110046,75.67756653
14/9/2020,197.6382904,112.4873886,264.9014893,155.1484985,75.60588837
15/9/2020,200.8807678,112.6629181,271.1421204,157.8065033,76.70867157
16/9/2020,197.2918549,109.3378372,262.2838745,153.9049988,75.68650818
17/9/2020,195.2328949,107.5923996,253.6246796,150.4364929,74.42399597
18/9/2020,192.8082123,104.1795425,251.3453979,147.7454987,72.65537262
21/9/2020,194.8768463,107.3388672,246.9859467,148.0234985,71.22066498
22/9/2020,199.5721893,109.0257797,253.5550079,156.4494934,72.92758179
23/9/2020,193.0006256,104.4525833,247.8518829,149.9929962,70.42693329
24/9/2020,195.502243,105.5251846,248.3594818,150.989502,71.07784271
25/9/2020,199.9570923,109.4840927,253.6246796,154.7565002,71.9074173
28/9/2020,201.5158234,112.0973282,255.6153259,158.7024994,72.88079834
29/9/2020,199.4182587,111.2490158,260.5619812,157.2440033,73.12016296
30/9/2020,202.3721466,112.9261856,260.6714172,157.4364929,73.13360596
1/10/2020,204.421524,113.8817902,265.379303,161.0630035,74.15327454
2/10/2020,198.3887634,110.205658,258.7206726,156.25,72.57723999
5/10/2020,202.4202271,113.5990143,263.4085693,159.9600067,73.95074463
6/10/2020,198.119339,110.342186,257.4466553,154.9980011,72.32941437
7/10/2020,201.8910522,112.2143555,256.9091797,159.7845001,72.67030334
8/10/2020,202.6126709,112.1071091,262.5227051,159.5274963,73.94625092
9/10/2020,207.6448059,114.0573044,263.2095337,164.3325043,75.40385437
12/10/2020,213.0233002,121.3022766,274.4564819,172.1464996,78.08764648
13/10/2020,214.4280701,118.084465,274.8446655,172.1815033,78.21354675
14/10/2020,212.5037079,118.1722183,270.5449524,168.1855011,78.03440094
15/10/2020,211.3491364,117.7041931,265.4688416,166.9324951,77.58899689
16/10/2020,211.3491364,116.0562363,264.6825562,163.635498,78.27973175
19/10/2020,206.1149139,113.0919495,260.1737671,160.3605042,76.36877441
20/10/2020,206.5286713,114.5838623,266.3049011,160.8504944,77.42975616
21/10/2020,206.6730042,113.9597931,277.4225159,159.246994,79.28993988
22/10/2020,206.7595825,112.8676834,276.8153687,158.8200073,80.38574982
23/10/2020,208.0488892,112.1753616,283.454071,160.2200012,81.66321564
26/10/2020,202.1315918,112.185112,275.8101196,160.352005,79.14762115
27/10/2020,205.1816559,113.6965103,281.9611206,164.3164978,79.83486176
28/10/2020,195.0115509,108.4309845,266.4143677,158.1390076,75.473526
29/10/2020,196.9743652,112.4483948,279.5126648,160.5505066,77.99259186
30/10/2020,194.8094788,106.1492386,261.8757629,151.8074951,80.66841888
2/11/2020,194.6748047,106.06147,260.1339722,150.223999,80.91822815
3/11/2020,198.6196899,107.6899185,264.055481,152.4205017,82.12153625
4/11/2020,208.2028351,112.0876007,286.0319214,162.0579987,87.04421234
5/11/2020,214.8417511,116.0660172,293.297699,166.1000061,87.75286102
6/11/2020,215.2554474,115.9341354,292.0336304,165.5684967,87.67224121
9/11/2020,210.1271515,113.6191635,277.4623108,157.1869965,87.73445129
10/11/2020,203.0264282,113.2772903,271.1520386,151.7510071,86.60927582
